URL,U ID,Public,Derived View,Parent UID,Domain,Type,Name,Description,Visits,Creation Date,Last Update Date (data),Category,Keywords,Downloads,Owner,Contact Email,License,Publication Stage,Published Version Name,Published Version UID,data_provided_by,Publishing Department,routing_approval,api_endpoint,source_link,owner_uid,View Moderation Status,provenance
https://data.code4sa.org/d/qm8d-sypi,qm8d-sypi,true,false,,data.code4sa.org,dataset,Police Statistics,Find the latest data here: https://data.code4sa.org/Government/Crime-Statistics-2005-2017/ic2q-vdwt,1,09/22/2014 05:34:00 PM +0000,09/22/2014 05:38:00 PM +0000,Government,"police,crime",0,Adi Eyal,adi@code4sa.org,Public Domain,snapshotted,Police Statistics | 2005 - 2018,8d9f-f6rq,South African Police Service,,,https://data.code4sa.org/resource/qm8d-sypi.json,http://www.saps.gov.za/resource_centre/publications/statistics/crimestats/2013/crime_stats.php,4rdw-ez8w,Not in Queue,official
https://data.code4sa.org/d/8d9f-f6rq,8d9f-f6rq,true,false,,data.code4sa.org,dataset,Police Statistics | 2005 - 2018,Police statistics per police station for 29 different crime categories. Includes data from 2005 - 2018. This dataset is based on the data released by SAPS but formatted in a way that allows for proper interrogation of the data. The native format makes it impossible to aggregate the data.,9531,09/22/2014 05:34:00 PM +0000,09/11/2018 02:04:00 PM +0000,Government,"police,crime",1571,Adi Eyal,adi@openup.org.za,Public Domain,published,,,South African Police Service,,,https://data.code4sa.org/resource/8d9f-f6rq.json,https://www.saps.gov.za/services/crimestats.php,4rdw-ez8w,Not in Queue,official
https://data.code4sa.org/d/gxpj-akik,gxpj-akik,true,false,,data.code4sa.org,dataset,City of Cape Town - Tender Awards July - Dec 2014,,3869,01/29/2015 02:18:00 PM +0000,01/29/2015 02:18:00 PM +0000,Government,"tenders,cape town",1735,Adi Eyal,adi@code4sa.org,,published,,,City of Cape Town,,,https://data.code4sa.org/resource/gxpj-akik.json,http://www.capetown.gov.za,4rdw-ez8w,Not in Queue,official
https://data.code4sa.org/d/8wvj-mtxb,8wvj-mtxb,true,false,,data.code4sa.org,dataset,NPO Officers,Officers of NPOs in South Africa,4545,02/21/2015 09:59:00 AM +0000,03/16/2015 10:12:00 AM +0000,Business,,896,Greg Kempe,,Public Domain,published,,,,,,https://data.code4sa.org/resource/8wvj-mtxb.json,http://npo.gov.za,emwv-hhns,Not in Queue,official
https://data.code4sa.org/d/wtwp-gvxr,wtwp-gvxr,true,false,,data.code4sa.org,dataset,SARS Customs Revenue,"Customs by top ten commodities for export and import. Trade with Botswana, Lesotho, Namibia, Swaziland included separately",2954,09/09/2014 01:21:00 PM +0000,09/09/2014 01:24:00 PM +0000,Government,"sars,customs,tax,month,financial",1324,Adi Eyal,adi@code4sa.org,Public Domain,published,,,South African Revenue Service,,,https://data.code4sa.org/resource/wtwp-gvxr.json,http://www.sars.gov.za/AllDocs/Documents/Trade%20Stats%20Nov%202013/Top%2010%20Monthly%20Commodities.xls,4rdw-ez8w,Not in Queue,official
https://data.code4sa.org/d/mba4-xngh,mba4-xngh,true,false,,data.code4sa.org,dataset,Database Of Medicine Prices,A database of medicine price ceilings. You shouldn't pay more than this for your medicines (not including dispensing fees).,4984,08/07/2014 01:50:00 PM +0000,08/07/2014 02:25:00 PM +0000,Government,"medicines,health",3099,Adi Eyal,adi@code4sa.org,Public Domain,published,,,Department of Health,,,https://data.code4sa.org/resource/mba4-xngh.json,http://www.mpr.gov.za,4rdw-ez8w,Not in Queue,official
https://data.code4sa.org/d/r4bb-fvka,r4bb-fvka,true,false,,data.code4sa.org,dataset,South Africa Civil Marriages | 2006 - 2015,,3851,01/25/2015 08:24:00 AM +0000,05/08/2018 09:57:00 PM +0000,Government,"civil marriage,marriage,statssa,population",635,Adi Eyal,adi@code4sa.org,Public Domain,published,,,Statistics South Africa,,,https://data.code4sa.org/resource/r4bb-fvka.json,http://www.statssa.gov.za,4rdw-ez8w,Not in Queue,official
https://data.code4sa.org/d/qyjq-r4ws,qyjq-r4ws,true,false,,data.code4sa.org,dataset,South Africa Civil Marriages - 2012,,0,01/25/2015 08:24:00 AM +0000,01/25/2015 08:27:00 AM +0000,Government,"civil marriage,marriage,statssa,population",0,Adi Eyal,adi@code4sa.org,,snapshotted,South Africa Civil Marriages | 2006 - 2015,r4bb-fvka,Statistics South Africa,,,https://data.code4sa.org/resource/qyjq-r4ws.json,http://www.statssa.gov.za,4rdw-ez8w,Not in Queue,official
https://data.code4sa.org/d/iety-gmha,iety-gmha,true,false,,data.code4sa.org,dataset,List of Registered Dams 2014,Registered under the Dam Safety regulations of the National Water Act,4952,09/06/2014 06:23:00 AM +0000,09/06/2014 06:24:00 AM +0000,,"water,dams",2077,Adi Eyal,adi@openup.org.za,Public Domain,published,,,Department of Water Affairs,,,https://data.code4sa.org/resource/iety-gmha.json,http://www.dwaf.gov.za/DSO/Publications.aspx,4rdw-ez8w,Not in Queue,official
https://data.code4sa.org/d/ft5b-smjr,ft5b-smjr,true,false,,data.code4sa.org,dataset,South African Hospitals Survey 2011-2012,"The results of a survey of South African hospitals by the Department of Health, taken from the Baseline Data 2011/12 Facility Audit Feedback Reports",2820,10/02/2014 10:00:00 AM +0000,10/08/2015 12:17:00 PM +0000,Health,"hospitals,health care,survey",1351,Jason,jason@code4sa.org,,published,,,Republic of South Africa Department of Health,,,https://data.code4sa.org/resource/ft5b-smjr.json,,9qdd-z4wt,Not in Queue,official
